id;idOriginal;rotulo;class_mac1;class_mac2;class_mac3
175;2139;Real;fake;fake;fake
176;466;Real;fake;fake;fake
177;961;Real;real;real;fake
180;11627;Real;real;fake;fake
182;4080;Real;real;fake;fake
183;11899;Real;fake;real;fake
185;288;Real;fake;fake;fake
192;8989;Real;fake;fake;fake
194;160;Real;fake;fake;fake
195;7968;Real;fake;fake;fake
200;1690;Real;real;real;fake
201;11747;Real;fake;fake;fake
203;1519;Real;real;real;fake
205;12945;Real;fake;fake;fake
206;2281;Real;real;real;fake
208;1052;Real;real;real;fake
209;12944;Real;fake;fake;fake
211;9691;Real;real;real;fake
215;9622;Real;real;real;fake
218;6473;Real;real;real;fake
221;13013;Real;real;real;fake
222;12052;Real;fake;real;fake
224;6932;Real;real;real;fake
226;1106;Real;real;real;fake
227;1177;Real;real;real;fake
229;31;Real;fake;fake;fake
234;13443;Real;fake;fake;fake
235;756;Real;real;fake;fake
236;74;Real;fake;real;fake
237;13087;Real;fake;fake;fake
238;3131;Real;fake;real;fake
239;13132;Real;fake;fake;fake
240;14064;Real;fake;fake;fake
241;3228;Real;fake;real;fake
242;14174;Real;fake;real;fake
243;9033;Real;fake;fake;fake
247;11066;Real;real;fake;fake
250;73;Real;real;real;fake
252;65;Real;real;real;fake
253;462;Real;real;real;fake
259;11761;Real;real;real;fake
261;636;Real;real;real;fake
262;2128;Real;real;real;fake
263;1279;Real;real;real;fake
265;12801;Real;real;real;fake
266;651;Real;real;real;fake
268;951;Real;real;real;fake
272;6519;Real;real;real;fake
273;489;Real;real;real;fake
276;8069;Real;real;real;fake
277;8172;Real;real;real;fake
279;6657;Real;real;real;fake
280;228;Real;real;real;fake
281;339;Real;real;real;fake
283;13138;Real;real;real;fake
285;806;Real;real;real;fake
286;15453;Real;real;real;fake
287;13068;Real;real;real;fake
289;11577;Real;real;real;fake
291;7665;Real;real;real;fake
294;3428;Real;fake;real;fake
297;938;Real;real;real;fake
298;8805;Real;real;real;fake
300;8071;Real;real;real;fake
301;14667;Fake;real;real;real
306;13773;Fake;real;real;real
308;13973;Fake;real;real;real
309;14213;Fake;real;real;real
310;14310;Fake;real;real;real
311;15562;Fake;real;real;real
312;15573;Fake;real;real;real
313;13820;Fake;real;real;real
314;15206;Fake;real;real;real
315;14840;Fake;fake;real;fake
317;14289;Fake;fake;real;fake
319;13515;Fake;real;real;fake
320;15401;Fake;real;real;fake
321;14259;Fake;fake;real;fake
322;13475;Fake;real;real;fake
323;15604;Fake;real;real;fake
324;14839;Fake;fake;real;fake
325;14908;Fake;real;real;fake
327;15141;Fake;real;real;fake
328;15501;Fake;real;real;real
329;14144;Fake;real;real;fake
330;15399;Fake;real;real;fake
331;14384;Fake;real;real;fake
333;15147;Fake;fake;fake;fake
335;14112;Fake;fake;fake;fake
338;14700;Fake;fake;fake;fake
340;13687;Fake;fake;fake;fake
341;14664;Fake;fake;fake;fake
345;14856;Fake;fake;fake;fake
348;14408;Fake;fake;fake;fake
351;14596;Fake;fake;fake;fake
355;13955;Fake;fake;fake;fake
356;15137;Fake;real;fake;fake
358;15342;Fake;fake;fake;fake
361;14481;Fake;fake;fake;fake
365;15427;Fake;fake;fake;fake
369;15017;Fake;fake;fake;fake
370;14126;Fake;fake;fake;fake
371;14404;Fake;fake;fake;fake
372;14452;Fake;fake;fake;fake
373;13771;Fake;fake;fake;fake
376;14863;Fake;fake;fake;fake
377;13815;Fake;fake;fake;fake
378;15280;Fake;fake;fake;fake
379;13854;Fake;real;fake;fake
383;14211;Fake;fake;fake;fake
384;15048;Fake;fake;fake;fake
386;15207;Fake;fake;fake;fake
391;13897;Fake;fake;fake;fake
393;13929;Fake;fake;fake;fake
394;15189;Fake;fake;fake;fake
395;15031;Fake;fake;fake;fake
398;13544;Fake;fake;fake;fake
400;13816;Fake;fake;fake;fake
401;15631;Fake;fake;fake;fake
406;13677;Fake;fake;fake;fake
407;15210;Fake;fake;fake;fake
409;13584;Fake;fake;fake;fake
413;14666;Fake;fake;fake;fake
414;14698;Fake;fake;fake;fake
415;14777;Fake;fake;fake;fake
416;14927;Fake;fake;fake;fake
419;13924;Fake;fake;fake;fake
420;15456;Fake;fake;fake;fake
422;14827;Fake;fake;fake;fake
423;15341;Fake;fake;fake;fake
425;14071;Fake;real;fake;fake
426;14749;Fake;real;fake;fake
427;14745;Fake;fake;fake;fake
430;14643;Fake;fake;fake;fake
432;15356;Fake;fake;fake;fake
434;13957;Fake;fake;fake;fake
437;15367;Fake;fake;fake;fake
438;13807;Fake;fake;fake;fake
442;13731;Fake;fake;fake;fake
446;14991;Fake;fake;fake;fake
447;13617;Fake;fake;fake;fake
449;13663;Fake;fake;fake;fake
450;14161;Fake;fake;fake;fake
451;14880;Fake;fake;fake;fake
452;14166;Fake;fake;fake;fake
453;15534;Fake;fake;fake;fake
454;13747;Fake;fake;fake;fake
456;14330;Fake;fake;fake;fake
458;13823;Fake;fake;fake;fake
460;15037;Fake;fake;fake;fake
461;14406;Fake;fake;fake;fake
465;15486;Fake;fake;fake;fake
467;15564;Fake;fake;fake;fake
468;14472;Fake;real;fake;fake
470;14516;Fake;fake;fake;fake
472;14776;Fake;fake;fake;fake
473;15409;Fake;fake;fake;fake
475;15591;Fake;fake;fake;fake
476;15494;Fake;fake;fake;fake
478;15262;Fake;fake;fake;fake
481;14386;Fake;fake;fake;fake
488;14063;Fake;fake;fake;fake
489;15309;Fake;fake;fake;fake
490;14887;Fake;real;fake;fake
496;14876;Fake;real;fake;fake
497;15512;Fake;fake;fake;fake
498;15156;Fake;fake;fake;fake
499;15241;Fake;real;real;fake
500;14754;Fake;fake;fake;fake
501;11773;Fake;fake;fake;fake
502;13751;Fake;fake;fake;fake
503;14235;Fake;fake;fake;fake
505;15570;Fake;fake;fake;fake
508;13560;Fake;fake;fake;fake
509;15616;Fake;real;fake;fake
510;15097;Fake;fake;fake;fake
513;14169;Fake;fake;fake;fake
516;13724;Fake;fake;fake;fake
518;13836;Fake;real;real;fake
519;14718;Fake;fake;fake;fake
520;15539;Fake;fake;fake;fake
521;14469;Fake;fake;fake;fake
522;14135;Fake;real;fake;fake
523;14556;Fake;fake;fake;fake
530;14998;Fake;fake;fake;fake
532;15532;Fake;fake;fake;fake
533;14949;Fake;fake;fake;fake
534;13744;Fake;fake;real;fake
535;14128;Fake;fake;fake;fake
536;14297;Fake;fake;fake;fake
537;14327;Fake;fake;fake;fake
539;14893;Fake;fake;fake;fake
540;15584;Fake;fake;fake;fake
542;13912;Fake;fake;real;fake
544;15049;Fake;fake;fake;fake
545;14306;Fake;real;real;fake
547;15307;Fake;real;fake;fake
548;13467;Fake;fake;fake;fake
549;14890;Fake;fake;fake;fake
550;15626;Fake;fake;fake;fake
552;14733;Fake;fake;fake;fake
554;14503;Fake;fake;fake;fake
556;15190;Fake;fake;fake;fake
557;14187;Fake;real;real;fake
559;14500;Fake;real;fake;fake
560;13764;Fake;real;real;fake
563;14062;Fake;fake;real;fake
565;14587;Fake;fake;fake;fake
568;14155;Fake;fake;fake;fake
570;15423;Fake;fake;fake;fake
573;14605;Fake;fake;fake;fake
576;14003;Fake;fake;fake;fake
577;14286;Fake;fake;fake;fake
578;15368;Fake;fake;fake;fake
581;14992;Fake;fake;fake;fake
586;14436;Fake;real;real;fake
587;14947;Fake;real;real;fake
588;14954;Fake;fake;real;fake
591;14694;Fake;real;real;fake
595;14164;Fake;fake;real;fake
596;14085;Fake;real;real;fake
597;14620;Fake;real;real;fake
598;14548;Fake;real;real;real
